id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
3292449	Arbetstid	Mon	0740	510	AnHo							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292277	Arbetstid	Mon	0745	450	AvdM							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292282	Arbetstid	Mon	0745	360	BjJo							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292291	Arbetstid	Mon	0745	510	CaSk							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292341	Arbetstid	Mon	0745	470	JaOm							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292359	Arbetstid	Mon	0745	520	MiJä							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292390	Arbetstid	Mon	0745	420	KaMa							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292431	Arbetstid	Mon	0745	475	TrPl							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3291983	Arbetstid	Mon	0750	480	GiPr							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292002	Arbetstid	Mon	0750	450	AlWe							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292012	Arbetstid	Mon	0750	405	MeAb							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292273	Arbetstid	Mon	0750	480	AnPe							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292294	Arbetstid	Mon	0750	455	ChLa							0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292302	Arbetstid	Mon	0750	465	ChPl							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292307	Arbetstid	Mon	0750	450	DaCa							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292314	Arbetstid	Mon	0750	510	EmLa							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292317	Arbetstid	Mon	0750	525	ErWi							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292325	Arbetstid	Mon	0750	450	FaCa							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292336	Arbetstid	Mon	0750	510	HayAlj							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292347	Arbetstid	Mon	0750	510	JoEn							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292352	Arbetstid	Mon	0750	450	JoGe							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292363	Arbetstid	Mon	0750	510	LiJä							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292374	Arbetstid	Mon	0750	470	LSt							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292386	Arbetstid	Mon	0750	450	MaFu							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292391	Arbetstid	Mon	0750	440	MatWik							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292419	Arbetstid	Mon	0750	300	PhGh							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292426	Arbetstid	Mon	0750	465	RyHa							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292634	Arbetstid	Mon	0750	310	LoGl							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292679	Arbetstid	Mon	0750	430	LilCor							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292380	Arbetstid	Mon	0755	450	MaBe							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292381	Arbetstid	Mon	0755	465	MaEn							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292384	Arbetstid	Mon	0755	470	OlGo							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292408	Arbetstid	Mon	0755	450	NaAf							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3291635	All staff meeting	Mon	0800	60	MeAb,NaAf,HayAlj,MaBe,FaCa,SeCa,TrPl,AlCh,LaCo,LilCor,RoDi,JoEn,MaEn,JoGe,PhGh,LoGl,OlGo,RyHa,JeHe,GaHe,AnHo,BjJo,LiJä,MiJä,HeKa,ChLa,EmLa,JonLeh,TiLe,MaFu,HaLu,KaMa,DaCa,JaOm,AnPe,ChPl,GiPr,LinRau,AsRo,JeSe,CaSk,LSt,AvdM,AlWe,MatWik,ErWi,DaWr							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292667	Modersmål	Mon	0800	60		4A,5A,5B,6A,6B,7A,7B,8A,8B,8C,9A,9B,9C				34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33, 40	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291638	Mobile Collection	Mon	0900	10	AsRo	7A,7B,8A,8B,8C,9B					33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292710	Mentor Time	Mon	0900	15	HayAlj,AlWe	4A	D45			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291866	Changing Time	Mon	0905	5	OlGo	7B	Changing Room				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291649	IDH	Mon	0910	50	OlGo	7B	B24,Outside	Uv		35, 37, 39, 41, 43, 45, 47, 49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	33	0	34-39, 41-43, 45-49, 51, 3, 5, 7, 11, 15, 17, 19, 21, 23	
3291691	Mobile Collection	Mon	0910	15	AsRo	9A,9C				34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291732	IDH	Mon	0910	50	OlGo	7B	Gym Hall	Jv				0	34, 36, 38, 40, 46, 48, 50, 4, 6, 8, 10, 12, 14, 16, 18, 22	
3291752	Prep Class	Mon	0910	55	ChLa	8Prep	B29				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291753	SV	Mon	0910	55	MiJä	8SV2	B25				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291754	SVA	Mon	0910	55	EmLa	8SVA1	C30				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291755	SVA	Mon	0910	55	LiJä	8SVA2	B22				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291793	Mentor Time	Mon	0910	30	LoGl,GiPr	5B	D41			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291864	MA	Mon	0910	60	JaOm	7A	A13				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292081	MA	Mon	0910	55	RyHa	9B	A15				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292084	Mentor Time	Mon	0910	30	KaMa,ChPl	5A	D40			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292152	EN	Mon	0910	60	MatWik	6B	D43			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	40	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292251	MA	Mon	0910	60	LSt	6A	D42			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292392	SV	Mon	0910	55	JoEn	8SV1	B23				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292190	SO	Mon	0920	40	PhGh	4A	D45			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292255	HoY Time	Mon	0920	30	CaSk							0	33-38, 40-41, 45-48, 50-51, 3-8, 10-12, 14-19, 21-23	
3292120	SO	Mon	0925	60	BjJo	9A	C33				33	0	34-39, 41-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292143	NO	Mon	0925	60	JoGe	9C	A19			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
